"province_country","day_100","Confirmed"
"South Africa",105,159333
"Andhra Pradesh, India",21,15252
"California, US",113,238681
"Florida, US",108,158997
"Maharashtra, India",21,180298
"Sao Paulo, Brazil",42,289935
"Texas, US",106,172368
"Argentina",104,69941
"South Africa",106,168061
"Andhra Pradesh, India",22,16097
"California, US",114,246550
"Florida, US",109,169106
"Maharashtra, India",22,186626
"Sao Paulo, Brazil",43,302179
"Texas, US",107,179137
"Argentina",105,72786
"South Africa",107,177124
"Andhra Pradesh, India",23,16934
"California, US",115,250514
"Florida, US",110,178594
"Maharashtra, India",23,192990
"Sao Paulo, Brazil",44,310702
"Texas, US",108,185591
"Argentina",106,75376
"South Africa",108,187977
"Andhra Pradesh, India",24,17699
"California, US",116,252895
"Florida, US",111,190052
"Maharashtra, India",24,200064
"Sao Paulo, Brazil",45,312530
"Texas, US",109,192153
"Argentina",107,77815
"South Africa",109,196750
"Andhra Pradesh, India",25,18697
"California, US",117,264681
"Florida, US",112,200111
"Maharashtra, India",25,206619
"Sao Paulo, Brazil",46,320179
"Texas, US",110,194932
"Argentina",108,80447
"South Africa",110,205721
"Andhra Pradesh, India",26,20019
"California, US",118,271035
"Florida, US",113,206447
"Maharashtra, India",26,211987
"Sao Paulo, Brazil",47,323070
"Texas, US",111,205642
"Argentina",109,83426
"South Africa",111,215855
"Andhra Pradesh, India",27,21197
"California, US",119,284012
"Florida, US",114,213794
"Maharashtra, India",27,217121
"Sao Paulo, Brazil",48,332708
"Texas, US",112,216026
"Argentina",110,87030
"South Africa",112,224665
"Andhra Pradesh, India",28,22259
"California, US",120,292560
"Florida, US",115,223783
"Maharashtra, India",28,223724
"Sao Paulo, Brazil",49,341365
"Texas, US",113,224929
"Argentina",111,90693
"South Africa",113,238339
"Andhra Pradesh, India",29,23814
"California, US",121,302484
"Florida, US",116,232718
"Maharashtra, India",29,230599
"Sao Paulo, Brazil",50,349715
"Texas, US",114,236541
"Argentina",112,94060
"South Africa",114,250687
"Andhra Pradesh, India",30,25422
"California, US",122,310885
"Florida, US",117,244151
"Maharashtra, India",30,238461
"Sao Paulo, Brazil",51,359110
"Texas, US",115,244756
"Argentina",113,97509
"South Africa",115,264184
"Andhra Pradesh, India",31,27235
"California, US",123,318761
"Florida, US",118,254511
"Maharashtra, India",31,246600
"Sao Paulo, Brazil",52,366890
"Texas, US",116,254415
"Argentina",114,100166
"South Africa",116,276242
"Andhra Pradesh, India",32,29168
"California, US",124,324543
"Florida, US",119,269811
"Maharashtra, India",32,254427
"Sao Paulo, Brazil",53,371997
"Texas, US",117,262762
"Argentina",115,103265
"South Africa",117,287796
"Andhra Pradesh, India",33,31103
"California, US",125,333357
"Florida, US",120,282435
"Maharashtra, India",33,260924
"Sao Paulo, Brazil",54,374607
"Texas, US",118,269778
"Argentina",116,106910
"South Africa",118,298292
"Andhra Pradesh, India",34,33019
"California, US",126,346211
"Florida, US",121,291629
"Maharashtra, India",34,267665
"Sao Paulo, Brazil",55,386607
"Texas, US",119,279577
"Argentina",117,111146
"South Africa",119,311049
"Andhra Pradesh, India",35,35451
"California, US",127,354885
"Florida, US",122,301810
"Maharashtra, India",35,275640
"Sao Paulo, Brazil",56,393176
"Texas, US",120,289837
"Argentina",118,114783
"South Africa",120,324221
"Andhra Pradesh, India",36,38044
"California, US",128,364706
"Florida, US",123,315775
"Maharashtra, India",36,284281
"Sao Paulo, Brazil",57,402048
"Texas, US",121,305854
"Argentina",119,119301
"South Africa",121,337594
"Andhra Pradesh, India",37,40646
"California, US",129,373259
"Florida, US",124,327241
"Maharashtra, India",37,292589
"Sao Paulo, Brazil",58,407415
"Texas, US",122,317768
"Argentina",120,122524
"South Africa",122,350879
"Andhra Pradesh, India",38,44609
"California, US",130,380745
"Florida, US",125,337569
"Maharashtra, India",38,300937
"Sao Paulo, Brazil",59,412027
"Texas, US",123,327106
"Argentina",121,126755
"South Africa",123,364328
"Andhra Pradesh, India",39,49650
"California, US",131,386906
"Florida, US",126,350047
"Maharashtra, India",39,310455
"Sao Paulo, Brazil",60,415049
"Texas, US",124,335257
"Argentina",122,130774
"South Africa",124,373628
"Andhra Pradesh, India",40,53724
